dataset,tag,index,group,mol_id,smiles,count,present
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,4,6-Trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl,2.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,3-Dimethylpentane",CCC(C)C(C)C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Bibenzyl,C(Cc1ccccc1)c2ccccc2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"N,N-Dimethylaniline",CN(C)c1ccccc1,2.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Ethylbenzene,CCc1ccccc1,10.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,d-Limonene,CC1=CCC(CC1)C(C)=C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Fludrocortisone,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,6-Dimethylphenol",Cc1cccc(C)c1O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,thiopental,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Dialifor,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,m-Chloroiodobenzene,Clc1cccc(I)c1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,p-Fluoroacetanilide,CC(=O)Nc1ccc(F)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Chloropham,CC(C)OC(=O)Nc1cccc(Cl)c1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Methylcyclohexane,CC1CCCCC1,13.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,2',3,4,4',5',6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,uracil,O=c1cc[nH]c(=O)[nH]1,,False
esol,opus5,v4_dolma-v1_7_llama,missed,Diallate,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Benzocaine,CCOC(=O)c1ccc(N)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,thymine,Cc1c[nH]c(=O)[nH]c1=O,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Morin,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,4-Nitroacetanilide,CC(=O)Nc1ccc(cc1)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"2,4',5-PCB",Clc1ccc(cc1)c2cc(Cl)ccc2Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Benzo(b)fluoranthene,c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,megestrol acetate,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"2,4,6-Trimethylphenol",Cc1cc(C)c(O)c(C)c1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,ethiofencarb,CCSCc1ccccc1OC(=O)NC,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,2-Methyl-1-Butene,CCC(=C)C,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,indazole,c2ccc1[nH]ncc1c2,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,"2,2',3,4,5,5',6-PCB",Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,nifuroxime,ON=Cc1ccc(o1)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,2-Methyl-2-hexanol,CCCCC(C)(C)O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Epitostanol,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,2.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Chlorzoxazone,Clc2ccc1oc(=O)[nH]c1c2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,RTI 23,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Disulfoton,CCOP(=S)(OCC)SCCSCC,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"1,2,3,4-Tetrachlorobenzene",Clc1ccc(Cl)c(Cl)c1Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Methazole,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Isazofos,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Chlordene,ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,triamcinolone diacetate,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,RTI 11,O2c1ccc(N)cc1N(C)C(=O)c3cc(C)ccc23,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Talbutal,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Ethoxyzolamide,CCOc2ccc1nc(sc1c2)S(N)(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,estriol,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Benfluralin,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Ethalfluralin,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,6-methoxypteridine,COc2cnc1ncncc1n2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Norethisterone,CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,5-hydroxyquinoline,Oc1cccc2ncccc12,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,gentisin,c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),2.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Chlorimuron-ethyl (ph 7),CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Phthalonitrile,N#Cc1ccccc1C#N,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,diisooctyl phthalate,c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Sulfallate,CCN(CC)C(=S)SCC(Cl)=C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Benzo(b)fluorene,C1c2ccccc2c3cc4ccccc4cc13,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"2,2',3,3'-PCB",Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,stadacaine,CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,norflurazon,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"2,4-Dimethylpentane",CC(C)CC(C)C,7.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Altretamine,CN(C)c1nc(nc(n1)N(C)C)N(C)C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Clonazepam,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Mebendazole,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,5-(3-Methyl-2-butenyl)-5-isoPrbarbital,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,2.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"1,8-Cineole",CC12CCC(CC1)C(C)(C)O2,5.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Lovastatin,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Dienochlor,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,1.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Isopropylbenzene,CC(C)c1ccccc1,2.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Anethole,COc1ccc(C=CC)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Risocaine,CCCOC(=O)c1ccc(N)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Medrogestone,CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Methocarbamol,COc1ccccc1OCC(O)COC(N)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Stanolone,CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,5-(3-Methyl-2-butenyl)-5-ethylbarbital,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"5,5-Diallylbarbital",O=C1NC(=O)NC(=O)C1(CC=C)CC=C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,3-Ethanoyloxymethylphenytoin,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Fluridone,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,6.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,5-Allyl-5-methylbarbital,O=C1NC(=O)NC(=O)C1(C)CC=C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"1,3-Dinitrobenzene",O=N(=O)c1cccc(c1)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"1,2,3,4-Tetrahydronapthalene",C1CCc2ccccc2C1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"1,5-Dimethlnapthalene",Cc1cccc2c(C)cccc12,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Flucytosine,Nc1nc(=O)[nH]cc1F,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,DNOC,Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,"3,4-Dichlorophenol",Oc1ccc(Cl)c(Cl)c1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Ethyl heptanoate,CCCCCCC(=O)OCC,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,Bromodichloromethane,BrC(Cl)Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,missed,2-Ethyl-1-hexanol,CCCCC(CC)CO,5.0,True
esol,opus5,v4_dolma-v1_7_llama,missed,Pentyl propanoate,CCCCC(=O)OCC,,False
esol,opus5,v4_dolma-v1_7_llama,missed,2-Bromotoluene,Cc1ccccc1Br,,False
esol,opus5,v4_dolma-v1_7_llama,missed,Dimefuron,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Acetonitrile, dichloro-",N#CC(Cl)Cl,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Benzoic acid, 2-hydroxy-",O=C(O)c1ccccc1O,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Benzeneacetaldehyde, alpha-methyl-",CC(C=O)c1ccccc1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Phenol, 2-methyl-5-(1-methylethyl)-",Cc1ccc(C(C)C)cc1O,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"2-Cyclopenten-1-one, 3-methyl-2-(2-pentenyl)-, (Z)-",CCC=CCC1=C(C)CCC1=O,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Carbamic acid, methyl-, o-isopropoxyphenyl ester",CNC(=O)Oc1ccccc1OC(C)C,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Phosphoric acid, bis(2-chloroethyl) 3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl ester",Cc1c(Cl)c(=O)oc2cc(OP(=O)(OCCCl)OCCCl)ccc12,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Benzeneacetic acid, 4-(difluoromethoxy)-alpha-(1-methylethyl)-, cyano(3-phenoxyphenyl)methyl ester",CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"2-Hydroxy-1,2,3-propanetricarboxylic acid, delta triethyl ester",CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"1-Piperidinepropanol, alpha-bicyclo(2.2.1)hept-5-en-2-yl-alpha-phenyl-",OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Thymine, 1-(2,3-dideoxy-beta-D-glycero-pent-2-enofuranosyl)- (7CI,8CI)",Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Phosphorothioic acid, S-benzyl O,O-diisopropyl ester",CC(C)OP(=O)(OC(C)C)SCc1ccccc1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Carbamic acid, (1-((butylamino)carbonyl)-1H-benzimidazol-2-yl)-, methyl ester",CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Phenol, 2,4,6-trinitro-",O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Phosphorothioic acid, O-(3-chloro-4-methyl-2-oxo-2H-1-benzopyran-7-yl) O,O-diethyl ester",CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"2,3-Naphthalenediol, 5-(3-((1,1-dimethylethyl)amino)-2-hydroxypropoxy)-1,2,3,4-tetrahydro-, cis-",CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"2-Propenal, 3-phenyl-",O=CC=Cc1ccccc1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Benzene, ethyl-",CCc1ccccc1,10.0,True
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Bicyclo(3.1.0)hexan-3-one, 4-methyl-1-(1-methylethyl)-, (1S,4R,5R)-",CC1C(=O)CC2(C(C)C)CC12,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Phosphorothioic acid, O-(4-bromo-2-chlorophenyl) O-ethyl S-propyl ester",CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"1,3-Benzenedimethanol, alpha(sup 1)-(((1,1-dimethylethyl)amino)methyl)-4-hydroxy-",CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"1,1-Ethanediol, 2,2,2-trichloro-",OC(O)C(Cl)(Cl)Cl,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"2,3,5-Trimethylpyrazine",Cc1cnc(C)c(C)n1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Decanoic acid, nonadecafluoro-",O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Valine, 3-mercapto-, D-",CC(C)(S)C(N)C(=O)O,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Quinoline, 2-methyl-",Cc1ccc2ccccc2n1,1.0,True
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Diazene, diphenyl-",c1ccc(N=Nc2ccccc2)cc1,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Methanesulfenyl chloride, trichloro-",ClSC(Cl)(Cl)Cl,0.0,False
ld50,gem31pro,v4_dolma-v1_7_llama,reproduced,"Bicyclo(3.1.1)hept-2-ene, 2,6,6-trimethyl-",CC1=CCC2CC1C2(C)C,0.0,False
