Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,transformed_solubility,transformed_smiles
"2,2',3,3',5,6-PCB",-7.185,1,360.88200000000006,0,2,1,0.0,-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,77.2382397572079,Zaraaaa{arZ}asa{Z}a{Z}aa{Z}asZ 
2-Methylphenol,-2.281,1,108.13999999999999,1,1,0,20.23,-0.62,Cc1ccccc1O,16.69195751138088,AaraaaaarB
"2,2,5-Trimethylhexane",-3.6310000000000002,1,128.259,0,0,2,0.0,-5.05,CC(C)CCC(C)(C)C,50.30349013657056,AA{A}AAA{A}{A}A
"1,4-Dimethylnaphthalene ",-4.147,1,156.228,0,2,0,0.0,-4.14,Cc1ccc(C)c2ccccc12,43.39908952959029,Aaraaa{A}asaaaaars
6-Methylchrysene,-5.931,1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14,61.8361153262519,Aaraasataaaaataaasauaaaaaru
2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19,CCCC(=O)C,13.429438543247345,AAAA{~B}A
"2,2',3,3',5,5',6,6'-PCB",-8.304,1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,81.41122913505312,Zaraa{Z}a{Z}a{arZ}asa{Z}a{Z}aa{Z}asZ 
Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82,CCCOC(=O)CC,18.20940819423369,AAABA{~B}AA
Triamcinolone,-2.734,1,394.43900000000014,4,4,2,115.06000000000002,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,39.90895295902883,AAtuAA{B}Ar{G}A{AAAs~AA{~B}A~AArsA}AtAA{B}Au{B}A{~B}AB
p-Aminophenol,-1.2309999999999999,1,109.12799999999999,2,1,0,46.25,-0.8,Nc1ccc(O)cc1,18.05766312594841,Daraaa{B}aar
Benznidazole,-2.3209999999999997,1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,33.30804248861912,B~A{AdraadarD{~B}~B}DAasaaaaas
"Atovaquone(0,430mg/ml) - neutral",-6.269,1,366.84400000000016,1,4,2,54.37,-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,56.98786039453718,BAu~A{ArAAA{AAr}asaaa{Z}aas}A{~B}ataaaaatAu~B
Trietazine,-3.233,1,229.71499999999997,1,1,5,53.940000000000005,-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC,42.792109256449166,AADarda{Z}da{dr}D{AA}AA
Pyrazinamide,-0.674,1,123.11499999999998,1,1,1,68.87,-0.667,NC(=O)c1cnccn1,17.04855842185129,DA{~B}aradaadr
Carbromal,-2.198,1,237.09699999999998,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O,32.3216995447648,AAA{X}{AA}A{~B}DA{D}~B
"2,2'-PCB",-4.984,1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1c2ccccc2Cl ,51.97268588770865,ZaraaaaarasaaaaasZ 
nitrofurantoin,-1.2429999999999999,1,238.15899999999996,1,2,3,118.04999999999998,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,37.63277693474962,B~AsAD{D~Aaraaa{br}D{~B}~B}A{~B}Ds 
Nitrofen,-5.361000000000001,1,284.09799999999996,0,2,3,52.37,-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,53.41426403641882,Zasaaa{Baraaa{aar}D{~B}~B}a{Z}as
Camphor,-2.158,1,152.237,0,2,0,17.07,-1.96,CC1(C)C2CCC1(C)C(=O)C2,26.85887708649469,AAr{A}AsAAAr{A}A{~B}As
5-Allyl-5-phenylbarbital,-2.36,1,244.25,2,2,3,75.27000000000001,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,29.962063732928684,B~ArDA{~B}DA{~B}Ar{AA~A}araaaaar
Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25,CCCCC(=O)OCC,29.05918057663126,AAAAA{~B}BAA
Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92,CC(C)CCOC(=O)C,26.555386949924127,AA{A}AABA{~B}A
3-Hexanoyloxymethylphenyltoin,-4.1530000000000005,1,380.444,1,3,8,75.71,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,56.6464339908953,B~ArD{ABA{~B}AAAAA}A{~B}A{Dr}{asaaaaas}ataaaaat
"2,3',5-PCB",-5.7620000000000005,1,257.547,0,2,1,0.0,-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,57.58725341426404,Zaraaaa{ar}asaa{Z}aaasZ 
1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73,CCCBr,25.11380880121396,AAAX
Propiconazole,-4.603,1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,38.49013657056146,AAAArABA{Adsadads}{Br}ataaa{Z}aatZ
Formothion,-2.0869999999999997,1,257.27299999999997,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O,27.12443095599393,ABK{~E}{BA}EAA{~B}D{A}A~B
4-methylpteridine,-1.24,1,146.15299999999996,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12,15.523520485584221,Aardadasdaadars
Thiourea,0.32899999999999996,1,76.12400000000001,2,0,0,52.04,0.32,NC(=S)N,9.559939301972687,DA{~E}D
p-Xylene ,-3.035,1,106.16799999999999,0,1,0,0.0,-2.77,Cc1ccc(C)cc1,33.004552352048556,Aaraaa{A}aar
"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28,CCc1ccccc1CC,36.874051593323216,AAaraaaaarAA
Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl,39.83308042488619,ZA{Z}{Z}A{Z}{Z}Z
Flucythrinate,-6.877999999999999,1,451.46900000000005,0,3,9,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,64.15781487101668,AA{A}A{A{~B}BA{A^D}araaaa{Basaaaaas}ar}ataaa{BA{G}G}aat
1-Nitropropane,-0.816,1,89.09399999999998,0,0,2,43.14,-0.8,CCCN(=O)=O,18.05766312594841,AAAD{~B}~B
Menthone,-2.516,1,154.253,0,1,1,17.07,-2.35,CC(C)C1CCC(C)CC1=O,29.817905918057665,AA{A}ArAAA{A}AAr~B
RTI 24,-4.423,1,273.723,1,3,1,45.230000000000004,-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,52.655538694992416,AADsaraa{Z}aaarDA{~B}ataaadast 
"2,3-Dichloronitrobenzene",-3.322,1,192.00100000000003,0,1,1,43.14,-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1,38.39150227617603,B~D{~B}ara{Z}a{Z}aaar
thiamylal,-3.063,1,254.35500000000002,2,1,5,58.2,-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,38.23975720789075,AAAA{A}Ar{AA~A}A{~B}DA{~E}DAr~B 
Fluoranthene,-4.957,2,202.25599999999997,0,4,0,0.0,-6.0,c1ccc2c(c1)c3cccc4cccc2c34,57.5113808801214,araaasa{ar}ataaaauaaaasatu
Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34,CCCOC(C)C,22.15477996965099,AAABA{A}A
"1,3-Dimethylnaphthalene",-4.147,1,156.22799999999998,0,2,0,0.0,-4.29,Cc1cc(C)c2ccccc2c1,44.537177541729896,Aaraa{A}asaaaaasar
diethylstilbestrol,-5.074,1,268.356,2,2,4,40.46,-4.07,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,42.867981790591806,AAA{~A{AA}araaa{B}aar}asaaa{B}aas 
Chlorothalonil,-3.995,1,265.914,0,1,0,47.58,-5.64,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,54.779969650986345,ar{A^D}a{Z}a{A^D}a{Z}a{Z}a{Z}r
"2,3',4',5-PCB",-6.312,1,291.992,0,2,1,0.0,-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,66.99544764795144,Zaraaa{Z}a{ar}asaaa{Z}a{Z}as
styrene oxide,-1.8259999999999998,2,120.15099999999995,0,2,1,12.53,-1.6,C1OC1c2ccccc2 ,24.127465857359635,ArBArasaaaaas 
Isopropylbenzene ,-3.265,1,120.19499999999995,0,1,1,0.0,-3.27,CC(C)c1ccccc1,36.798179059180576,AA{A}araaaaar
Deoxycorticosterone,-3.9389999999999996,1,330.4680000000001,1,4,2,54.370000000000005,-3.45,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,38.16388467374811,AArsAAAtA{AAAu~AA{~B}AAAtuA}AsAAArA{~B}AB
chlorquinox,-4.438,1,267.93,0,2,0,25.78,-5.43,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,53.186646433990894,as{Z}a{Z}a{Z}ardaadaras{Z} 
L-arabinose,0.601,1,150.13,4,1,0,90.15,0.39,C1OC(O)C(O)C(O)C1O,9.028831562974204,ArBA{B}A{B}A{B}ArB
Dichloromethane,-1.156,1,84.93299999999999,0,0,0,0.0,-0.63,ClCCl,16.76783004552352,ZAZ
1-Ethylnaphthalene ,-4.1,1,156.22799999999998,0,2,1,0.0,-4.17,CCc1cccc2ccccc12,43.62670713201821,AAaraaaasaaaaars
Methyl formate,-0.048,1,60.05200000000001,0,0,1,26.3,0.58,COC=O,7.587253414264037,ABA~B
o-Nitrophenol,-2.318,1,139.10999999999999,1,1,1,63.37,-1.74,Oc1ccccc1N(=O)=O,25.189681335356603,BaraaaaarD{~B}~B
thymine,-0.78,1,126.115,2,1,0,65.72,-1.506,Cc1c[nH]c(=O)[nH]c1=O ,23.414264036418817,Aara{dH}a{~B}{dH}ar~B 
2-Methylpropane,-1.891,1,58.123999999999995,0,0,0,0.0,-2.55,CC(C)C,31.335356600910472,AA{A}A
Inosine,-0.8340000000000001,1,268.22900000000004,4,3,2,133.75,-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,21.320182094081943,BAArBA{A{B}ArB}dsadata{B}dadast
Ioxynil,-4.615,1,370.91499999999996,1,1,0,44.019999999999996,-3.61,Oc1c(I)cc(C#N)cc1I,39.37784522003035,Bara{H}aa{A^D}aarH
Niclosamide,-5.032,1,327.1230000000001,2,2,3,92.47,-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,47.64795144157815,Baraaa{Z}aarA{~B}Dasaaa{aasZ}D{~B}~B
Pentane,-2.261,1,72.151,0,0,2,0.0,-3.18,CCCCC,36.11532625189682,AAAAA
Phenol,-1.9909999999999999,1,94.11299999999999,1,1,0,20.23,0.0,c1ccccc1O,11.987860394537178,araaaaarB
2-aminoanthracene,-3.7889999999999997,1,193.249,1,3,0,26.02,-5.17,Nc3ccc2cc1ccccc1cc2c3 ,51.213960546282244,Dataaasaaraaaaaraasat 
theobromine,-1.05,1,180.16699999999997,1,2,0,72.68,-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,31.13050075872534,Adradasd{A}a{~B}{dH}a{~B}ars 
Isoquinoline,-2.531,2,129.16199999999998,0,2,0,12.89,-1.45,c1ccc2cnccc2c1,22.98937784522003,araaasadaaasar
Anilofos,-5.106,1,367.86,0,1,7,38.77,-4.4319999999999995,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,45.61456752655538,ABK{~E}{BA}EAA{~B}D{A{A}A}araaa{Z}aar
Hexylbenzene ,-4.22,1,162.276,0,1,5,0.0,-5.21,CCCCCCc1ccccc1,51.51745068285281,AAAAAAaraaaaar
2-Chlorobiphenyl,-4.5280000000000005,1,188.657,0,2,1,0.0,-4.54,Clc1ccccc1c2ccccc2,46.433990895295906,Zaraaaaarasaaaaas
2-Methyl-1-Pentene,-2.3480000000000003,1,84.16199999999999,0,0,2,0.0,-3.03,CCCC(=C)C,34.977238239757206,AAAA{~A}A
"2,3,4-Trimethylpentane",-3.2760000000000002,1,114.23199999999999,0,0,2,0.0,-4.8,CC(C)C(C)C(C)C,48.406676783004556,AA{A}A{A}A{A}A
Pentachlorobenzene,-5.167999999999999,1,250.339,0,1,0,0.0,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,54.855842185128985,Zaraa{Z}a{Z}a{Z}arZ
m-Nitrophenol,-2.318,1,139.10999999999999,1,1,1,63.37,-1.01,Oc1cccc(c1)N(=O)=O,19.650986342943856,Baraaaa{ar}D{~B}~B
1-Decene,-3.781,1,140.26999999999998,0,0,7,0.0,-5.51,CCCCCCCCC=C,53.79362670713202,AAAAAAAAA~A
Glyceryl triacetate,-1.285,1,218.20499999999998,0,0,5,78.9,-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C,16.5402124430956,AA{~B}BAA{ABA{~B}A}BA{~B}A
dimethirimol,-3.57,1,209.29299999999998,1,1,4,49.25000000000001,-2.24,CCCCc1c(C)nc(nc1O)N(C)C ,28.98330804248862,AAAAara{A}da{darB}D{A}A 
Cyfluthrin,-6.84,1,434.29400000000015,0,3,6,59.32000000000001,-7.337000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,67.65553869499243,AAr{A}A{A~A{Z}Z}ArA{~B}BA{A^D}asaaa{G}a{Bataaaaat}as
Pyridine,-1.4809999999999999,2,79.10199999999998,0,1,0,12.89,0.76,c1ccncc1,6.22154779969651,araadaar
1-Bromoheptane,-3.366,1,179.101,0,0,5,0.0,-4.43,CCCCCCCBr,45.59939301972686,AAAAAAAX
"3,4-Dimethylpyridine",-2.0669999999999997,1,107.15599999999999,0,1,0,12.89,0.36,Cc1ccncc1C,9.256449165402126,AaraadaarA
Fludrocortisone,-3.1719999999999997,1,380.45600000000013,3,4,2,94.83,-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,38.01213960546282,AAtuAA{B}Ar{G}A{AAAs~AA{~B}AAArsA}AtAAAu{B}A{~B}AB 
ethiofencarb,-2.855,1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC ,27.845220030349015,AAEAaraaaaarBA{~B}DA 
Malonic acid diethylester,-1.413,1,160.16899999999998,0,0,4,52.60000000000001,-0.82,CCOC(=O)CC(=O)OCC,18.20940819423369,AABA{~B}AA{~B}BAA
d-Limonene,-3.429,1,136.238,0,1,1,0.0,-4.26,CC1=CCC(CC1)C(C)=C,44.30955993930198,AAr~AAA{AAr}A{A}~A
Indan,-3.057,2,118.17899999999997,0,2,0,0.0,-3.04,C1Cc2ccccc2C1,35.053110773899846,ArAasaaaaasAr
p-t-Butylphenol,-3.1919999999999997,1,150.22099999999998,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1,30.273141122913508,AA{A}{A}araaa{B}aar
Cyclopropyl-5-spirobarbituric acid,-0.08800000000000001,1,154.125,2,2,0,75.27,-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 ,26.297420333839153,B~AsDA{~B}Ar{AAr}A{~B}Ds 
m-Chloroiodobenzene,-4.3839999999999995,1,238.45499999999998,0,1,0,0.0,-3.55,Clc1cccc(I)c1,38.922610015174506,Zaraaaa{H}ar
1-Bromonapthalene,-4.434,1,207.07,0,2,0,0.0,-4.35,Brc1cccc2ccccc12,44.992412746585735,Xaraaaasaaaaars
trans-2-Pentene ,-2.076,1,70.135,0,0,1,0.0,-2.54,CC/C=C/C,31.25948406676783,AALA~ALA
"2,6-Dimethylpyridine",-2.0980000000000003,1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1,8.573596358118362,Aaraaaa{A}dr
Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl,26.85887708649469,ZA~A{Z}Z
1-Napthylamine,-2.721,1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12,26.555386949924127,Daraaaasaaaaars
m-Xylene ,-3.035,1,106.16799999999999,0,1,0,0.0,-2.82,Cc1cccc(C)c1,33.38391502276176,Aaraaaa{A}ar
2-hydroxypteridine,-1.4040000000000001,1,148.125,1,2,0,71.79,-1.9469999999999998,Oc2ncc1nccnc1n2,26.760242792109256,Basdaardaadards
Methanol,0.441,1,32.042,1,0,0,20.23,1.57,CO,0.07587253414264043,AB
Amobarbital,-2.312,1,226.27599999999998,2,1,4,75.27000000000001,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,30.71320182094082,AAAr{AAA{A}A}A{~B}DA{~B}DAr~B
2-Butanone,-0.491,1,72.107,0,0,1,17.07,0.52,CCC(=O)C,8.04248861911988,AAA{~B}A
5-fluorouracil,-0.792,1,130.078,2,1,0,65.72,-1.077,Fc1c[nH]c(=O)[nH]c1=O ,20.159332321699544,Gara{dH}a{~B}{dH}ar~B 
tubercidin,-0.892,1,266.257,4,3,2,126.65,-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,26.78300455235205,Dardadasd{aaars}AtBA{AB}A{B}AtB 
"1,3-Benzenediol",-1.59,1,110.11199999999998,2,1,0,40.46,0.81,Oc1cccc(O)c1,5.842185128983308,Baraaaa{B}ar
