CMPD_CHEMBLID,exp,smiles,transformed_solubility,transformed_smiles
CHEMBL1940306,1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,49.833333333333336,AE{~B}{~B}araaa{Basaaa{aas}A^A{A*}t{B}ADuAAAtAAu}aar
CHEMBL578201,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,31.5,A{A*H}{Darda{Dasaa{A}{dH}ds}a{A}darA^D}ataaa{G}adt
CHEMBL276218,-0.08,O=C1CCCCCN1,76.33333333333333,B~ArAAAAADr
CHEMBL2153181,1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,42.49999999999999,AAAEardaaaarA{~B}DsAAAAsataadaat
CHEMBL1916276,1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,52.666666666666664,AArAAAAArDA{~B}asadd{asDE{~B}{~B}ataaa{A}aat}auaaaaau
CHEMBL93884,3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,21.66666666666666,Daraaa{aar}asdataaa{B}aatss
CHEMBL2171986,1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,48.333333333333336,ABaraaa{aar}DsAAD{AAs}A{~B}{A**H}tAAAA{A*H}tA{~B}DAA^D
CHEMBL190044,3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,12.166666666666666,AAA{ABA{~B}araa{BA}a{BA}a{BA}ar}{D{A}A}asaaaaas
CHEMBL469790,3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,22.5,ABaraa{aaarDsAA{A**H}{B}As}DtD~Dauaa{sauAt~B}avaaa{Z}aav
CHEMBL2165055,0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,69.66666666666667,AB{A*H}rAD{AADsA{~B}A~Aataaa{aast}A^D}AA{A*H}rDAauaaavBAA{~B}Davdu
CHEMBL322479,2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,26.333333333333332,AA{A}{AAAAABAAaraaaaar}DAAasaaa{B}atda{B}sast
CHEMBL2036736,1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,43.0,Zaraaa{aar}A{~B}Dasba{dds}A{~B}Dataaa{aat}DuAABAAu
CHEMBL2179291,3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,22.166666666666668,ABaraaa{Basaaaa{ADtAAAA{At}DuA~A{A}A{~B}DAu~B}as}aar
CHEMBL2158823,2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,38.833333333333336,BA{~B}araaaa{ar}DsAAA{ADtAAA{AAt}Bauaaa{Z}a{Z}au}AAs
CHEMBL641,1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,55.0,ADAA{A**H}{BaraaaaarA}asaaaaas
CHEMBL1289785,3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,9.499999999999998,Zaraaa{DsAAD{AAs}A{~B}AAAataadaat}a{Z}ar
CHEMBL1381135,1.9,COc1cnc(nc1N(C)C)c2ccccn2,43.333333333333336,ABarada{darD{A}A}asaaaads
CHEMBL528217,2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,37.166666666666664,A{AAAADaraa{dasaaaaars}ataaaaat}AAADauaa{davaaaaauv}awaaaaaw
CHEMBL2177621,1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,55.0,AEara{addrasaaa{aas}A{~B}B}A{~B}DAtAuAAvAA{AAtAv}Au
CHEMBL475386,1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,56.00000000000001,ADAr~DasdaaaasA{~DArataaast}aubaadu
CHEMBL2325699,2.6,CS(=O)(=O)C1(CC1)c2cc(nc(n2)c3cccc4[nH]ccc34)N5CC6CCC(C5)O6,31.666666666666668,AE{~B}{~B}Ar{AAr}asaa{da{ds}ataaaau{dH}aaatu}DvAAwAAA{Av}Bw
CHEMBL2010845,3.3,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)n4cnnn4,20.000000000000004,AD{{A**H}rAAD{Aasaaa{aas}A{G}{G}G}A{A**H}rG}A{~B}Aataaa{aat}duadddu
CHEMBL103,3.94,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,9.333333333333334,AA{~B}{A*H}rAA{A*H}s{A**H}tAAAu~AA{~B}AA{A*}u{A}{A*H}tAA{A*}rsA
CHEMBL2208428,2.34,CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3,36.0,AE{~B}{~B}araaaaarA{~B}DA{A**H}{B}ADsAAA{AAs}Bataaa{Z}a{Z}at
CHEMBL1796293,2.57,O=C(NCc1ccncc1)c2ccc(Oc3ccccc3C#N)cc2,32.16666666666667,B~A{DAaraadaar}asaaa{BataaaaatA^D}aas
CHEMBL1557436,3.62,CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,14.666666666666664,AD{A}araadassa{A{~B}DAataaaaat}a{D}ars
CHEMBL2031236,2.06,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cscn5)ccc4C,40.666666666666664,ADrAAD{AAr}asaaatD~AD{A{~B}atas}auaa{DA{~B}avasadv}aaauA
CHEMBL2087849,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,2.833333333333332,AdradaarasatA{~B}D{AAuAAu}A{~B}D{AAvAAv}atddsAawaadaxaaa{Z}aawx
CHEMBL1235773,2.55,COc1ccc2ncc(C#N)c(CCN3CCC(CC3)NCc4cc5SCOc5cn4)c2c1,32.50000000000001,ABaraaasdaa{A^D}a{AADtAAA{AAt}DAauaavEABavadu}asar
CHEMBL339051,2.78,CNC(=O)C1(CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(cc3ccccc23)C#N)c4ccc(Cl)c(Cl)c4)CC1)N5CCCCC5=O,28.66666666666667,ADA{~B}Ar{AAD{AA{A*H}{AD{A}A{~B}asa{BA}a{aataaaaast}A^D}auaaa{Z}a{Z}au}AAr}DvAAAAAv~B
CHEMBL168899,1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3,51.666666666666664,BBrD{A{~B}Dasaaaaars}ataaaaat
CHEMBL517,-0.54,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,84.0,AA{A}D{AAA{A{~B}D}{araaaaar}asaaaads}A{A}A
CHEMBL578288,2.91,NC(=NC#N)c1sc(Nc2ccccc2)nc1N,26.5,DA{~DA^D}arsa{Dasaaaaas}darD
CHEMBL1778648,-0.4,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2O[C@H](C)C(=O)O)C(F)(F)F,81.66666666666667,AAE{~B}{~B}araaa{a{A}ar}asaa{aaasB{A*H}{A}A{~B}B}A{G}{G}G
CHEMBL1778635,-0.16,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,77.66666666666667,BA{~B}ABaraaa{aarasaa{aaasG}A^D}A{G}{G}G
CHEMBL1234354,2.2,COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCCO)C2=O,38.33333333333333,ABaraaa{adr}As~Aata{A}da{D}datD{{A**H}uAA{A*H}{AAu}BAAB}As~B
CHEMBL1550278,3.4,CC(Nc1ncnc2ccccc12)c3ccccc3,18.333333333333336,AA{Dardadasaaaaars}ataaaaat
CHEMBL1096,1.1,CC(C)c1ccc2Oc3nc(N)c(cc3C(=O)c2c1)C(=O)O,56.666666666666664,AA{A}araaasBatda{D}a{aatA{~B}asar}A{~B}B
CHEMBL1807822,2.28,O[C@@H](CNCCCOCCOCCc1cccc2ccccc12)c3ccc(O)c4NC(=O)Sc34,37.00000000000001,B{A**H}{ADAAABAABAAaraaaasaaaaars}ataaa{B}auDA{~B}Eatu
CHEMBL1310086,3.47,COc1ccccc1Cn2c(C)nc3ccccc23,17.166666666666664,ABaraaaaarAdsa{A}dataaaaast
CHEMBL373364,3.0,OC(=O)c1ccc(NC(=O)c2cc(OCc3ccccc3F)cc(OCc4ccccc4F)c2)nc1,25.0,BA{~B}araaa{DA{~B}asaa{BAataaaaatG}aa{BAauaaaaauG}as}dar
CHEMBL484901,-1.17,NC(Cc1c[nH]c2ccccc12)C(=O)O,94.5,DA{Aara{dH}asaaaaars}A{~B}B
CHEMBL1233652,1.95,OC(=O)CCC[C@H]1[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(F)ccc4[nH]3,42.49999999999999,BA{~B}AAA{A*H}r{A**H}{Aasaaaaars}DA{~B}ataauaa{G}aaau{dH}t
CHEMBL2059196,-0.99,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,91.5,AADA{~B}araasa{a{adas{dH}r}atadaa{at}A{~B}B}duaaa{du}A{G}{G}G
CHEMBL1934414,2.0,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,41.666666666666664,A{A*H}{DA{~B}ara{A}dd{AsAAAAs}arDE{~B}{~B}ataaa{A}aat}A{A}{A}A
CHEMBL1415894,3.8,N(c1ccccc1)c2cc(Nc3ccccc3)[nH]n2,11.66666666666667,D{araaaaar}asaa{Dataaaaat}{dH}ds
CHEMBL2335875,3.21,COCCNC(=O)c1cccc(Nc2ncc3cc(ccc3n2)c4ccncc4)c1,21.5,ABAADA{~B}araaaa{Dasdaataa{aaatds}auaadaau}ar
CHEMBL1916269,0.36,CCC(CC)NC(=O)c1cnn(C)c1NS(=O)(=O)c2ccc(C)cc2,68.99999999999999,AAA{AA}DA{~B}aradd{A}arDE{~B}{~B}asaaa{A}aas
CHEMBL1224139,2.14,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccccc4)c1,39.333333333333336,DA{~B}araa{G}aa{B{A*H}sA{A*H}tAA{A**H}{As}DtAauaaaaau}ar
CHEMBL1082812,1.71,O=C1NC(=NC(=C1C#N)c2ccccc2)SCCc3ccccc3,46.5,B~ArDA{~DA{~ArA^D}asaaaaas}EAAataaaaat
CHEMBL12980,1.19,OC(C(=O)OC1CN2CCC1CC2)(c3ccccc3)c4ccccc4,55.166666666666664,BA{A{~B}BArADsAAArAAs}{ataaaaat}auaaaaau
CHEMBL1412343,2.7,Cc1ccccc1NC(=O)CCS(=O)(=O)c2ccc(Br)s2,29.999999999999996,AaraaaaarDA{~B}AAE{~B}{~B}asaaa{X}ss
CHEMBL453862,2.77,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N(C)C)ncc2F,28.833333333333332,AA{A}dra{A}daarasda{Dataaa{aat}A{~B}D{A}A}daasG
CHEMBL296572,3.8,COc1cccc(c1)c2c[nH]c(n2)c3ccccc3,11.66666666666667,ABaraaaa{ar}asa{dH}a{ds}ataaaaat
CHEMBL239513,2.87,O=C(COc1ccccc1)c2ccccc2,27.166666666666668,B~A{ABaraaaaar}asaaaaas
CHEMBL479445,1.91,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN(C)C,43.166666666666664,ABaraasdaa{A{~B}D}a{Dataaa{G}aatG}asaarDAAD{A}A
CHEMBL2152917,3.4,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N,18.333333333333336,AB{A**H}rAA{A**}s{AAr}Aataaa{BAA{A}A}aatAsuD~A{A}A{~Du}D
CHEMBL299672,3.13,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCCC4,22.833333333333332,ABaraasdada{Dataaa{G}a{Z}at}asaarBAAADuAAAAu
CHEMBL1682820,3.0,O=C1CCOc2cc(COc3ccccc3)ccc12,25.0,B~ArAABasaa{ABataaaaat}aaars
CHEMBL247367,2.33,Clc1cccc2cn[nH]c12,36.166666666666664,Zaraaaasad{dH}ars
CHEMBL2010834,2.8,CNC(=O)c1ccc(CC(=O)N(C)C2CCN(Cc3ccc(cc3)C(F)(F)F)CC2)cc1,28.33333333333334,ADA{~B}araaa{AA{~B}D{A}AsAAD{Aataaa{aat}A{G}{G}G}AAs}aar
CHEMBL1945293,-0.54,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3NC(=O)Sc23)cc1,84.0,ABAADAaraaa{AADA{A*H}{B}asaaa{B}atDA{~B}East}aar
CHEMBL1652588,3.16,Cn1cncc1c2c3C(=O)N(CC#C)C(=O)N(CC4CC4)c3nn2Cc5ccnc6ccc(Cl)cc56,22.333333333333332,AdradaarasatA{~B}D{AA^A}A{~B}D{AAuAAu}atddsAavaadawaaa{Z}aavw
CHEMBL190812,2.91,C[C@H](NC(=O)c1cccnc1Oc2ccccc2)c3ccccc3,26.5,A{A*H}{DA{~B}araaadarBasaaaaas}ataaaaat
CHEMBL235392,1.55,Clc1ccc(CN2CC3CNCC(C2)O3)cc1C(=O)NCC45CC6CC(CC(C6)C4)C5,49.166666666666664,Zaraaa{ADsAAtADAA{As}Bt}aarA{~B}DAAuvAAwAA{AA{Aw}Au}Av
CHEMBL62193,0.2,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,71.66666666666667,ABaraa{DE{~B}{~B}asaaa{D}aas}da{BA}dr
CHEMBL1784338,1.43,Cc1cc(CCC2CCN(CC2)S(=O)(=O)CC3(CCOCC3)N(O)C=O)c(C)cn1,51.166666666666664,Aaraa{AAAsAAD{AAs}E{~B}{~B}AAt{AABAAt}D{B}A~B}a{A}adr
CHEMBL1650698,2.47,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4,33.83333333333333,A{A*H}{Dardaa{G}a{Dasaa{{dH}ds}AtAAt}dr}audaa{G}adu
CHEMBL2062583,2.48,CC(=O)Nc1ccc2c(c1)c(cn2CCCO)c3cc(NC4CC4)n5ncc(C#N)c5n3,33.666666666666664,AA{~B}Daraaasa{ar}a{adsAAAB}ataa{DAuAAu}dvdaa{A^D}avdt
CHEMBL4,-0.45,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,82.5,AArABasa{DtAAD{A}AAt}a{G}aauA{~B}A{~ADrasu}A{~B}B
CHEMBL2158534,2.0,CC1(CC1)c2nc(ncc2C(=O)N[C@@H]3C4CC5CC3C[C@@](O)(C5)C4)N6CCOCC6,41.666666666666664,AAr{AAr}asda{daasA{~B}D{A**H}tAuAAvAAtA{A**}{B}{Av}Au}DwAABAAw
CHEMBL492234,2.6,COC(=O)c1ccc(C)c(NS(=O)(=O)c2ccc3N(C)SC(=O)c3c2)c1,31.666666666666668,ABA{~B}araaa{A}a{DE{~B}{~B}asaaatD{A}EA{~B}atas}ar
CHEMBL131921,3.5,COc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,16.666666666666668,ABaraaa{aar}As~ABataa{B}aa{B}atAs~B
CHEMBL21731,0.89,CNCCCC12CCC(c3ccccc13)c4ccccc24,60.166666666666664,ADAAAArsAAA{ataaaaart}auaaaaasu
CHEMBL346528,1.3,Oc1cc(nc2ccnn12)c3ccccc3,53.333333333333336,Baraa{dasaaddrs}ataaaaat
CHEMBL133501,2.01,Fc1cc(cc(F)c1C2=CCN(CC2)C=O)N3C[C@H](COc4ccon4)OC3=O,41.50000000000001,Garaa{aa{G}arAs~AAD{AAs}A~B}DtA{A*H}{ABauaabdu}BAt~B
CHEMBL2087854,3.59,CC(C#C)N1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c3C1=O)c6cncn6C,15.16666666666667,AA{A^A}DrA{~B}D{AAsAAs}atdd{Aauaadavaaa{Z}aauv}a{atAr~B}awadadwA
CHEMBL1689126,0.18,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccccc3,72.0,A{A*H}rAD{Aasaa{Z}aaasBAA{~B}B}AADrA{~B}Aataaaaat
CHEMBL1650728,2.6,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1,31.666666666666668,ABaraa{Dasda{D{A**H}{A}atdaa{G}adt}daasX}d{dH}r
CHEMBL2178942,1.3,Cc1nc(C)c(nc1C(=O)N)c2ccc([C@@H]3CC[C@@H](CC(=O)O)CC3)c(F)c2,53.333333333333336,Aarda{A}a{darA{~B}D}asaaa{{A**H}tAA{A**H}{AA{~B}B}AAt}a{G}as
CHEMBL1800528,2.1,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,40.0,ABaraada{AAasdata{A}aadat{dH}s}ar
CHEMBL143305,3.72,Cc1cc(CCCOc2c(Cl)cc(cc2Cl)C3=NCCO3)on1,12.999999999999998,Aaraa{AAABasa{Z}aa{aasZ}At~DAABt}bdr
CHEMBL2326481,1.72,CN(C)C(=O)c1ccc(CN2CCc3cc4nc(N)sc4cc3CC2)cc1,46.333333333333336,AD{A}A{~B}araaa{ADsAAataauda{D}sauaatAAs}aar
CHEMBL15245,1.65,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12,47.5,ABA{~B}{A*H}r{A**H}{B}AA{A*H}sADtAAaua{{dH}avaaaaauv}{A**H}tA{A*H}rs
CHEMBL1852688,3.7,CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2,13.33333333333333,AADrAAD{AAr}asaaa{Dataa{dadt}D{A}A{~B}Daua{Z}a{BA}aa{BA}auZ}aas
CHEMBL2171169,2.2,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)ncnc34,38.33333333333333,AA{A}D{AAADA{~B}Daraaa{aar}A{A}{A}A}A{A*H}sB{A*H}{{A*H}{B}{A**H}sB}dtadaua{D}dadatu
CHEMBL2216830,2.04,CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl,41.0,AAD{AA}AAAADardaasAD{A{~B}D{Aataaaa{DA{~B}A~A}at}asdr}aua{Z}a{BA}aa{BA}auZ
CHEMBL381098,4.49,CCSc1c(Cc2ccccc2C(F)(F)F)sc3N(CC(C)C)C(=O)N(C)C(=O)c13,0.1666666666666631,AAEara{AasaaaaasA{G}{G}G}satD{AA{A}A}A{~B}D{A}A{~B}art
CHEMBL284275,0.2,COc1ccc(Cc2c(N)n[nH]c2N)cc1,71.66666666666667,ABaraaa{Aasa{D}d{dH}asD}aar
CHEMBL2177167,2.0,CCN(CCN(C)C)S(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)C(=O)Nc3cccnc3,41.666666666666664,AAD{AAD{A}A}E{~B}{~B}araaa{aar}asada{D}a{ds}A{~B}Dataaadat
CHEMBL2331746,1.49,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4ccccc4)c3)C(=O)NC1=O,50.166666666666664,AAr~AD{{A*H}sAAAD{As}E{~B}{~B}ataaa{B}a{Bauaaaaau}at}A{~B}DAr~B
CHEMBL1712280,4.28,C1Oc2ccccc2C3=NN(CC13)c4ccccc4,3.6666666666666625,ArBasaaaaasAt~DD{AArt}auaaaaau
CHEMBL1790041,-0.95,CNC(=C[N+](=O)[O-])NCCSCc1oc(CN(C)C)cc1,90.83333333333333,ADA{~A{DP}{~B}{BM}}DAAEAarba{AD{A}A}aar
CHEMBL1184060,1.64,CC(C)CC(N1NC(=O)c2nc3cc(Cl)ccc3c(O)c2C1=O)c4ccncc4,47.66666666666668,AA{A}AA{DrDA{~B}asdataa{Z}aaata{B}asAr~B}auaadaau
CHEMBL1502799,2.02,FC(F)c1nc2ccccc2[nH]1,41.333333333333336,GA{G}ardasaaaaas{dH}r
CHEMBL2208436,3.09,O[C@@H](CNC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)COc3cccc(c3)C#N,23.5,B{A**H}{ADArAAD{Aasaaa{Z}a{Z}as}AAr}ABataaaa{at}A^D
CHEMBL480445,2.18,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1N4CCN(C)CC4,38.666666666666664,ABaraasdaa{A{~B}D}a{Dataaa{G}aatG}asaarDuAAD{A}AAu
CHEMBL1392670,4.4,Oc1ccccc1OC(=O)c2cccc3ccccc23,1.6666666666666607,BaraaaaarBA{~B}asaaaataaaaast
CHEMBL1455477,3.28,COc1ccccc1CNc2cc(C)ccn2,20.333333333333336,ABaraaaaarADasaa{A}aads
CHEMBL1939414,3.04,Nc1nc(Nc2cccc(Br)c2)c3nc[nH]c3n1,24.333333333333332,Darda{Dasaaaa{X}as}atda{dH}atdr
CHEMBL1617016,3.12,Nc1c2CCN(c3ccccc3)c2nc4ccc(Br)cc14,23.0,DarasAAD{ataaaaat}asdauaaa{X}aaru
CHEMBL2207600,0.06,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c2ccc(C)cc2)c3ccc(C)cc3,74.00000000000001,ABaraa{BA}a{aarDA{~B}AAA{~B}B}E{~B}{~B}D{asaaa{A}aas}ataaa{A}aat
CHEMBL244213,2.49,OC(C(=O)c1ccc(F)cc1)c2ccc(F)cc2,33.49999999999999,BA{A{~B}araaa{G}aar}asaaa{G}aas
CHEMBL404957,1.11,CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2,56.49999999999999,AA{A}A{A*H}{D}arba{ddr}E{~B}{~B}Aasaaa{G}aas
CHEMBL520252,2.81,CC(C)COc1cccc(c1)C(=O)Nc2ccc(C)c(c2)C(=O)Nc3cccnc3,28.166666666666668,AA{A}ABaraaaa{ar}A{~B}Dasaaa{A}a{as}A{~B}Dataaadat
CHEMBL190747,3.52,COc1ccc(OC)c(CNC(=O)c2cccnc2Oc3ccccc3)c1,16.333333333333332,ABaraaa{BA}a{ADA{~B}asaaadasBataaaaat}ar
CHEMBL1079175,2.5,NC1(CCC1)c2ccc(cc2)c3nc4C=CN5C(=O)NN=C5c4cc3c6ccccc6,33.333333333333336,DAr{AAAr}asaaa{aas}atdauA~ADvA{~B}DD~Avauaatawaaaaaw
CHEMBL1499868,4.48,CC(C(Cc1nc2ccccc2[nH]1)c3nc4ccccc4[nH]3)c5ccccc5,0.3333333333333262,AA{A{Aardasaaaaas{dH}r}atdauaaaaau{dH}t}avaaaaav
CHEMBL1824042,1.33,Clc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,52.833333333333336,ZaraaasBAA{~B}D{AADtAAA{AAt}DAauaaavBAA{~B}Davdu}asar
CHEMBL2158827,1.83,OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,44.5,BA{~B}Aaraaa{aar}DsAAA{ADtAAA{AAt}Bauaaa{Z}a{Z}au}AAs
CHEMBL520925,3.6,COc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1OC,14.999999999999998,ABaraasdaa{A{~B}D}a{Dataaaa{Z}atG}asaarBA
CHEMBL181502,3.2,CN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)C4CCC4,21.66666666666666,AD{ArAAD{AAA{asaaaaas}ataaaaat}AAr}A{~B}AuAAAu
CHEMBL1962631,-0.56,NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,84.33333333333334,DA{~D}DA{~B}arda{Z}a{DAasaaaads}darD
CHEMBL470915,3.53,Nc1c(NC2CC3CCC2C3)nc(nc1N4CCOCC4)C#N,16.166666666666668,Dara{DAsAAtAAAsAt}da{darDuAABAAu}A^D
CHEMBL1163803,4.3,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4c(F)cccc4F,3.333333333333336,AAD{ArAAD{AAA{asaaaaas}ataaaaat}AAr}A{~B}DAaua{G}aaaauG
CHEMBL598194,2.88,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,27.0,DAr{AAD{AAr}asdadat{dH}aaast}A{~B}DAauaaa{Z}aau
CHEMBL42,3.08,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,23.666666666666668,ADrAAD{AAr}As~Dataa{Z}aaatDauaaaaasu
CHEMBL2178954,1.0,Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3,58.333333333333336,Aardaa{darA{~B}D}asaaa{aas}{A**H}tAA{A**H}{AA{~B}B}AAt
