smiles,u0_atom,transformed_solubility,transformed_smiles
CN1CCOC=N1,-1455.56,58.79179909575182,ADrAABA~Dr
CC(C)(C)N,-1474.9,59.8739871972783,AA{A}{A}D
c1scc2c1CN2,-1142.8,41.291015712431175,arsaasarADs
CC=CN(C)C=O,-1608.06,67.32508169568915,AA~AD{A}A~B
O=CC#CC1CN1,-1408.72,56.17082232866288,B~AA^AArADr
CC#CCCC#N,-1921.19,84.84656878105555,AA^AAAA^D
NC1(C2CC2)CC1,-1767.71,76.25844934867273,DAr{AsAAs}AAr
C=C(CCN)OC,-1717.43,73.4449841085098,A~A{AAD}BA
CC1C=NOC1=O,-1264.07,48.07679394780429,AArA~DBAr~B
C=CC(=C)C1CC1,-1761.47,75.90928421146873,A~AA{~A}ArAAr
NCC1(CN)CO1,-1585.18,66.04480952594119,DAAr{AD}ABr
CC(C)=CC(C)C,-2052.19,92.1767984242804,AA{A}~AA{A}A
C1CC2CCN2C1,-1763.23,76.00776668606474,ArAAsAADsAr
CC(=O)C1CN1C,-1581.83,65.85735708849992,AA{~B}ArADrA
C=CCC(C)=O,-1427.01,57.19425668114061,A~AAA{A}~B
CC(=O)CCO,-1375.59,54.317001656296156,AA{~B}AAB
C=CCC[CH][N]O,-1524.76,62.66395093782176,A~AAA{AH}{D}B
[NH][C](C=O)N1CC1,-1487.85,60.59861676887953,{DH}{A}{A~B}DrAAr
C1OC2CC1C2,-1404.56,55.93804557052688,ArBAsAArAs
CN1CCCC1,-1631.67,68.64620171001388,ADrAAAAr
O=CC1CCN1,-1284.67,49.22948654818928,B~AArAADr
C[CH]C=C[N]OC,-1559.34,64.59890773982721,A{AH}A~A{D}BA
CC(C)=CC1CO1,-1698.66,72.39469089932406,AA{A}~AArABr
NC1CC2OC2C1,-1587.8,66.19141411880568,DArAAsBAsAr
CC(O)C#CC#N,-1292.58,49.67209812435651,AA{B}A^AA^D
CC#CC(C)(C)N,-1770.27,76.40169658444873,AA^AA{A}{A}D
CC1CCC2CC12,-1915.48,84.52706029813332,AArAAAsAArs
C#CCONC=O,-1395.1,55.40870226957339,A^AABDA~B
COC1C(N)C1O,-1504.16,61.51125833743678,ABArA{D}ArB
C1=NOCC2CC12,-1425.35,57.1013698016921,Ar~DBAAsAArs
C=CCOC=CC,-1700.88,72.51891311159855,A~AABA~AA
C1CC1N1CC1,-1462.74,59.193562827342326,ArAArDrAAr
CC1(C)CC1(C)C,-2046.51,91.85896861990241,AAr{A}AAr{A}A
CC(C)CC1CC1,-2044.96,91.77223689511617,AA{A}AArAAr
CCC1(C)CC1,-1750.74,75.30887685214199,AAAr{A}AAr
C=C(C#CC)C=O,-1427.61,57.2278302520256,A~A{A^AA}A~B
CCC(=NO)OC,-1503.28,61.46201710013878,AAA{~DB}BA
NC(=O)C1CCN1,-1474.37,59.84433054299654,DA{~B}ArAADr
C#CC=CCC#C,-1449.2,58.435919244370844,A^AA~AAA^A
CN1CC=CC1,-1486.28,60.5107659250638,ADrAA~AAr
CC1=CCON=C1,-1430.41,57.384506916155615,AAr~AABD~Ar
C=C(C)C[CH][N]N,-1638.51,69.02894041810288,A~A{A}A{AH}{D}D
O=Cc1ccoc1,-1272.84,48.56752764224002,B~Aaraabar
C=CC1CC=NN1,-1498.52,61.19566677111777,A~AArAA~DDr
C=CC1CCCC1,-1919.85,84.77158780607904,A~AArAAAAr
Nc1ccc(N)o1,-1350.59,52.91810286942118,Daraaa{D}br
OC1COC2CC12,-1511.28,61.909664711938774,BArABAsAArs
CC1CC(C)(C)C1,-2048.44,91.96696360624917,AArAA{A}{A}Ar
C=C(C)C1CN1,-1472.82,59.75759881821031,A~A{A}ArADr
C=CCC(=C)CN,-1774.48,76.63727114015848,A~AAA{~A}AD
C#CCC=CC=C,-1608.07,67.3256412552039,A^AAA~AA~A
CCc1cnon1,-1311.5,50.73078472626349,AAaradbdr
OC1CC1N1CC1,-1790.94,77.55830610143695,BArAArDrAAr
CNC(C)(C)C=O,-1726.13,73.93180088634227,ADA{A}{A}A~B
C=CC(C)(N)C=C,-1773.82,76.60034021218497,A~AA{A}{D}A~A
CNCC1(C)CC1,-1911.2,84.28756882582033,ADAAr{A}AAr
CC1OCC1O,-1351.42,52.964546309145454,AArBAArB
CNC(=S)N1CC1,-1110.11,39.461815658713455,ADA{~E}DrAAr
CN1CC(CO)C1,-1707.22,72.87367384395006,ADrAA{AB}Ar
Cc1c[nH]c(=O)s1,-1460.73,59.081091364877565,Aara{dH}a{~B}sr
NC1C2CCC1C2,-1785.36,77.24607189220646,DArAsAAArAs
Cc1cccn1C,-1456.53,58.84607636868258,AaraaadrA
O=Cc1ccco1,-1273.67,48.61397108196429,B~Aaraaabr
CC1C=CCN1C,-1152.05,41.80860826357492,AArA~AADrA
C=CC(C#N)=NO,-1176.23,43.16162317024039,A~AA{A^D}~DB
C=CCOC(C)=O,-1536.06,63.29625318948923,A~AABA{A}~B
CCCC=O,-1270.08,48.413089216169034,AAAA~B
C[CH][N]N1CCC1,-1620.97,68.0474730292314,A{AH}{D}DrAAAr
C1NC1CC1CO1,-1561.34,64.71081964277721,ArDArAArABr
CCC(C)[CH][N]O,-1706.0,72.80540758315054,AAA{A}{AH}{D}B
CCC1(CC)CC1,-2045.81,91.8197994538699,AAAr{AA}AAr
C1=NOCCNC1,-1426.12,57.144455884327854,Ar~DBAADAr
C1=COC=CC1,-1289.46,49.49751555575451,Ar~ABA~AAr
C=CC(C#N)CC,-1655.38,69.9729173194861,A~AA{A^D}AA
C#CC1=COCO1,-1214.63,45.310331706880355,A^AAr~ABABr
OC1C2COC1C2,-1500.15,61.28687497202203,BArAsABArAs
Cc1ccc(N)o1,-1480.15,60.16775594252205,Aaraaa{D}br
CC#CC1CNC1,-1621.72,68.08943999283765,AA^AArADAr
CCC(O)C(C)O,-1798.07,77.9572720354537,AAA{B}A{A}B
CNCCC(C)=O,-1733.0,74.31621827297552,ADAAA{A}~B
C=CC(=O)NC=N,-1350.11,52.89124401271319,A~AA{~B}DA~D
CC=CC1CN1C,-1762.37,75.95964456779622,AA~AArADrA
C=CC(C)C(C)N,-1917.92,84.66359281973232,A~AA{A}A{A}D
Nc1ccccc1,-1561.96,64.7455123326917,Daraaaaar
CC1CCCC1O,-1866.95,81.81151797305164,AArAAAArB
CC(O)C=CC=O,-1524.4,62.64380679529075,AA{B}A~AA~B
O=CNC1CCC1,-1554.85,64.34766551770446,B~ADArAAAr
[CH2][N]OC1CNC1,-1412.44,56.378978468149874,{AHs}{D}BArADAr
C#CCNC(N)=O,-1423.43,56.99393437486011,A^AADA{D}~B
C#CC(C)NC,-1458.86,58.97645373561932,A^AA{A}DA
CC=CC(C)C=O,-1719.99,73.58823134428579,AA~AA{A}A~B
CC1=CC2CC1O2,-1547.7,63.94758046465823,AAr~AAsAArBs
CNCC1CC1O,-1706.47,72.8317068803438,ADAArAArB
C=C1OCC2OC12,-1367.72,53.876628318187926,A~ArBAAsBArs
CN1CC1CC=O,-1577.09,65.59212587850844,ADrAArAA~B
CC1(C#N)COC1,-1450.81,58.526008326245574,AAr{A^D}ABAr
CC(C)OC(N)=O,-1573.35,65.38285061999194,AA{A}BA{D}~B
CC12CC1CCO2,-1713.77,73.24018532611129,AArsAArAABs
O=C1CCNCC1,-1239.22,46.68628855365057,B~ArAADAAr
C1=CC2OCC2C1,-1577.22,65.5994001522002,Ar~AAsBAAsAr
OCC=CCO,-1353.04,53.05519495053494,BAA~AAB
CC1=COCC1C,-1722.95,73.75386096065179,AAr~ABAArA
CC1=NOC(C)O1,-1386.37,54.92020681319665,AAr~DBA{A}Br
CC(=O)CC(C)O,-1673.87,71.00754286225882,AA{~B}AA{A}B
COc1cccs1,-1239.84,46.72098124356506,ABaraaasr
OC12CCOC1C2,-1511.66,61.93092797349927,BArsAABArAs
C=CC(C)NC,-1616.19,67.78000358118089,A~AA{A}DA
CC1(O)CC(O)C1,-1651.44,69.75245087067461,AAr{B}AA{B}Ar
CNC(C)CCN,-1927.05,85.17447065669906,ADA{A}AAD
CC1CC(C#N)N1,-1005.85,33.62784815793008,AArAA{A^D}Dr
C#CCC1CNC1,-1908.02,84.10962890012982,A^AAArADAr
[CH2][N]OC(C)(C)C,-1698.22,72.37007028067507,{AHs}{D}BA{A}{A}A
CC1CON=CN1,-1449.28,58.440395720488844,AArABD~ADr
NCC1(CN)CC1,-1786.22,77.29419401047495,DAAr{AD}AAr
CNCCOC,-1552.49,64.21560947222348,ADAABA
OC1C=CCC=C1,-1589.42,66.28206276019517,BArA~AAA~Ar
C#CC(C)N(C)C,-1747.68,75.13765164062852,A^AA{A}D{A}A
CC(C)CC#N,-1507.23,61.683043108465014,AA{A}AA^D
CCCCCC#N,-1802.11,78.18333407941269,AAAAAA^D
CCS(=O)(=O)NC,-1240.32,46.747840100273066,AAE{~B}{~B}DA
C#CCC(=O)CO,-1367.41,53.859281973230686,A^AAA{~B}AB
CC(C)C1(C)CO1,-1845.4,80.60566721876539,AA{A}Ar{A}ABr
CNCCOC=O,-1539.97,63.51504095975649,ADAABA~B
COCS(C)(=O)=O,-1796.01,77.8420027754152,ABAE{A}{~B}~B
N#CC1C=COC1,-1327.89,51.64790277093873,D^AArA~ABAr
C=CC(N)=CC#N,-1402.03,55.79647701329514,A~AA{D}~AA^D
CC(C)C#N,-1210.47,45.07755494874435,AA{A}A^D
COCC=CCN,-1710.52,73.05832848381753,ABAA~AAD
C#CC(C=C)CN,-1615.75,67.7553829625319,A^AA{A~A}AD
C#CC#CCCO,-1388.68,55.0494650611039,A^AA^AAAB
CC=CC#CCO,-1554.0,64.3001029589507,AA~AA^AAB
NCCOC1CC1,-1719.74,73.57424235641703,DAABArAAr
CC(C)(N)C1CO1,-1712.18,73.15121536326605,AA{A}{D}ArABr
C=COC=CCO,-1503.0,61.446349433725764,A~ABA~AAB
CCC(C)(C)OC,-1984.34,88.38018711670173,AAA{A}{A}BA
CCC(CN)CO,-1865.59,81.73541787904563,AAA{AD}AB
C=CC(C)C1CO1,-1695.59,72.2229061282958,A~AA{A}ArABr
CC(C)=C(C)C=O,-1725.26,73.88311920855902,AA{A}~A{A}A~B
CC(=O)C1NC1C,-1589.94,66.31115985496218,AA{~B}ArDArA
CCC=CCO,-1554.08,64.3045794350687,AAA~AAB
CC(N)C1CC1N,-1788.4,77.41617798469045,AA{D}ArAArD
CC1OC1C1CC1,-1696.59,72.2788620797708,AArBArArAAr
CS(=O)(=O)C1CN1,-1298.78,50.019025023501506,AE{~B}{~B}ArADr
C=C(C#N)CCC,-1658.95,70.17268006625186,A~A{A^D}AAA
C1=CC2CN2C1,-1343.76,52.53592372084695,Ar~AAsADsAr
CCN1CC=CC1,-1785.38,77.24719101123596,AADrAA~AAr
CC#CCNC=N,-1506.88,61.66345852544877,AA^AADA~D
CNC(C)CO,-1562.62,64.78244326066519,ADA{A}AB
O=C1C2C=CC1N2,-1322.1,51.32391781189847,B~ArAsA~AArDs
CC(C)NC(N)=S,-1563.53,64.83336317650746,AA{A}DA{D}~E
O=C1CCN=CN1,-1284.48,49.21885491740902,B~ArAAD~ADr
CC1(C)CNC1,-1614.97,67.7117373203814,AAr{A}ADAr
C=CC(=O)C=O,-1091.7,38.43166659205873,A~AA{~B}A~B
C=CC1NC1CO,-1189.09,43.88121670620887,A~AArDArAB
CC1=CC=CC1,-1493.29,60.90301714490353,AAr~AA~AAr
CC1CC2CC2C1,-1916.97,84.61043466583106,AArAAsAAsAr
CC1NC2CC1C2,-1762.81,75.98426518644521,AArDAsAArAs
CCC1C(C)N1C,-1651.87,69.77651192980885,AAArA{A}DrA
CC1C2N=CNC12,-1527.77,62.83237835176149,AArAsD~ADArs
CC1C(O)CN1C,-1710.06,73.03258874613904,AArA{B}ADrA
CC=C(C=O)C=O,-1392.18,55.2453108912664,AA~A{A~B}A~B
CC=CN(O)C=N,-1434.72,57.62567706701286,AA~AD{B}A~D
C#CC=CC#C,-1155.35,41.99326290344241,A^AA~AA^A
CCO[N][CH]CO,-1498.91,61.21748959219304,AAB{D}{AH}AB
CC=CC,-1160.57,42.28535297014191,AA~AA
CNCC(C)CN,-1926.0,85.11571690765031,ADAA{A}AD
COCCC(C)C,-1983.22,88.31751645104974,ABAAA{A}A
C=CCN(C)C=N,-1652.54,69.8140024172971,A~AAD{A}A~D
C=CC=C(C)CN,-1781.3,77.01889072921796,A~AA~A{A}AD
C#CC(C#C)CN,-1455.13,58.76773803661758,A^AA{A^A}AD
CCC=CC(C)N,-1657.63,70.09881821030486,AAA~AA{A}D
CNn1cccc1,-1525.31,62.694726711132994,ADdraaaar
CC1CC1N,-1324.08,51.43471059581898,AArAArD
C=C1C=COC1C,-1587.54,66.17686557142217,A~ArA~ABArA
CC1CC(N)C1C,-1446.98,58.311697032096326,AArAA{D}ArA
CC1(O)C=COC1,-1526.93,62.78537535252251,AAr{B}A~ABAr
CC(C)C,-1305.32,50.384976946147994,AA{A}A
Cc1csc(O)c1,-1269.84,48.399659787815025,Aarasa{B}ar
C#CCC(C)(C)N,-1763.56,76.02623215005147,A^AAA{A}{A}D
CC1(N)C=NOC1,-1446.43,58.2809212587851,AAr{D}A~DBAr
CCOC1(C)CC1,-1840.7,80.34267424683291,AABAr{A}AAr
CC1CCC=NO1,-1571.34,65.2703791575272,AArAAA~DBr
O=S1(=O)CCC1,-1123.86,40.23120999149469,B~Er{~B}AAAr
CNCS(C)(=O)=O,-1282.03,49.08176283629527,ADAE{A}{~B}~B
CC1C(C)C1(C)C,-2046.14,91.83826491785669,AArA{A}Ar{A}A
C#CCOCC,-1385.93,54.895586194547654,A^AABAA
C=CC(C)(O)CO,-1652.69,69.82239581001836,A~AA{A}{B}AB
CC(C)CC(C)N,-1768.35,76.29426115761672,AA{A}AA{A}D
CCC(=O)[CH][N]O,-1381.73,54.66057119835266,AAA{~B}{AH}{D}B
CC(N)C=CCN,-1791.17,77.5711759702762,AA{D}A~AAD
CCCNCC#N,-1665.73,70.55206141725233,AAADAA^D
C#CC[CH][N][N][CH2],-1340.23,52.3383992121402,A^AA{AH}{D}{D}{AHs}
C1=NN=CCOC1,-1300.46,50.1130310219795,Ar~DD~AABAr
C1=CCCC=CC1,-1546.91,63.90337526299298,Ar~AAAA~AAr
CC1C=COC1C,-1724.9,73.86297506602803,AArA~ABArA
CC(C)C=CCN,-1791.61,77.5957965889252,AA{A}A~AAD
NCC1CNC1,-1482.03,60.272953131295054,DAArADAr
C=CC=CCN,-1484.52,60.41228345046779,A~AA~AAD
CCN(C)[CH][N]O,-1572.45,65.33249026366445,AAD{A}{AH}{D}B
CC1OC=CC1N,-1597.15,66.71460226509691,AArBA~AArD
CNC(=O)N(C)C,-1624.5,68.24499753793813,ADA{~B}D{A}A
C#CC(N)C#CC,-1462.48,59.179014279958814,A^AA{D}A^AA
O=C1CCC=NN1,-1256.58,47.65768387125655,B~ArAAA~DDr
OC1CC2CC1C2,-1713.9,73.24745959980304,BArAAsAArAs
CC(C=O)CO,-1364.51,53.69700971395318,AA{A~B}AB
CNC(C)C1CO1,-1706.56,72.83674291597654,ADA{A}ArABr
C=CC=COC=C,-1564.26,64.87421102108422,A~AA~ABA~A
CCN[N][CH]CO,-1580.8,65.79972245848069,AAD{D}{AH}AB
C=C1OCC2NC12,-1439.59,57.8981825506961,A~ArBAAsDArs
C#CC=O,-667.28,14.682841667039705,A^AA~B
C=CC1CN1CC,-1762.39,75.96076368682576,A~AArADrAA
O=Cn1cccc1,-1478.95,60.10060880075206,B~Adraaaar
O=C1C2CNC1C2,-1792.38,77.63888267156095,B~ArAsADArAs
CC(C)(C)CC#N,-1918.61,84.70220242625007,AA{A}{A}AA^D
C=C(CO)CNC,-1716.5,73.39294507363803,A~A{AB}ADA
CC(O)C(C)O,-1504.27,61.51741349209902,AA{B}A{A}B
C[CH]C=C[N]NC,-1640.49,69.13973320202338,A{AH}A~A{D}DA
CCC(=N)NOC,-1569.66,65.1763731590492,AAA{~D}DBA
CC1C=NN2CC12,-1515.17,62.12733336317651,AArA~DDsAArs
CC1CNC(=O)O1,-1440.03,57.9228031693451,AArADA{~B}Br
O=CC1CCCN1,-1482.21,60.283025202560545,B~AArAAADr
O=CCNCCO,-1786.91,77.33280361699272,B~AADAAB
CC(C)=O,-980.82,32.227270692510864,AA{A}~B
CC1(N2CC2)CC1,-1755.67,75.58473969291374,AAr{DsAAs}AAr
NCC1(N)COC1,-1584.42,66.00228300282018,DAAr{D}ABAr
C=COC(=C)C=C,-1562.73,64.78859841532746,A~ABA{~A}A~A
[HH].[HH],-1322.88,51.367563454048984,{HH}!{HH}
C=COC1COC1,-1492.98,60.885670799946276,A~ABArABAr
OC1C=COC1,-1227.18,46.01257889789158,BArA~ABAr
O=CC1CN1,-988.51,32.6575719593536,B~AArADr
CC1COC1=O,-1246.47,47.091969201844314,AArABAr~B
CC1(CCN)CO1,-1715.47,73.3353104436188,AAr{AAD}ABr
C#CC(=O)C=C,-1123.24,40.1965173015802,A^AA{~B}A~A
C#CC(C)[CH][N]O,-1399.92,55.678409955682895,A^AA{A}{AH}{D}B
C=CC(C)(N)CO,-1722.86,73.74882492501904,A~AA{A}{D}AB
CC1C2C=NOC12,-1425.16,57.09073817091187,AArAsA~DBArs
CC1CC=NOC1,-1568.72,65.12377456466271,AArAA~DBAr
CC(C)OCCN,-1858.92,81.36219168270738,AA{A}BAAD
N#CC#CCC=O,-1406.19,56.02925377143113,D^AA^AAA~B
C#CCN1CC1C,-1515.35,62.137405434442,A^AADrAArA
CCC1CCOC1,-1860.65,81.45899547875912,AAArAABAr
C1C2CC3C1N3C2,-1660.86,70.2795559335691,ArAsAAtArDtAs
